,GenderSelect,Country,Age,EmploymentStatus,CodeWriter,CurrentJobTitleSelect,CurrentEmployerType,LanguageRecommendationSelect,FormalEducation,CompensationAmount,CompensationCurrency,exchangeRate,CompensationAmountExanged
8,Female,Australia,43.0,Employed full-time,Yes,Business Analyst,Employed by non-profit or NGO,Python,Bachelor's degree,80000,AUD,0.80231,64184.799999999996
9,Male,Russia,33.0,Employed full-time,Yes,Software Developer/Software Engineer,Employed by a company that doesn't perform advanced analytics,Python,Bachelor's degree,1200000,RUB,0.017402,20882.4
11,Male,India,27.0,Employed full-time,Yes,Data Scientist,"Employed by professional services/consulting firm,Employed by a company that performs advanced analytics",Python,Bachelor's degree,95000,INR,0.01562,1483.9
14,Male,China,26.0,Employed full-time,Yes,Software Developer/Software Engineer,Employed by professional services/consulting firm,Python,Master's degree,1100000,TWD,0.033304,36634.4
22,Male,United States,33.0,Employed full-time,Yes,Scientist/Researcher,Employed by professional services/consulting firm,Matlab,Doctoral degree,100000,USD,1.0,100000.0
25,Male,Russia,22.0,Employed full-time,Yes,Data Analyst,"Employed by professional services/consulting firm,Employed by a company that performs advanced analytics",Python,Bachelor's degree,624000,RUB,0.017402,10858.848
27,Male,Colombia,34.0,Employed full-time,Yes,Data Scientist,Employed by a company that doesn't perform advanced analytics,Python,Master's degree,156000000,COP,0.000342,53352.0
31,Male,Poland,29.0,Employed full-time,Yes,Software Developer/Software Engineer,Employed by company that makes advanced analytic software,Python,Master's degree,126000,PLN,0.281104,35419.104
32,Male,United Kingdom,36.0,Employed full-time,Yes,Data Scientist,Employed by a company that performs advanced analytics,Python,Doctoral degree,130000,GBP,1.324188,172144.44
34,Male,United States,35.0,Employed full-time,Yes,Engineer,Employed by a company that performs advanced analytics,Python,Doctoral degree,133000,USD,1.0,133000.0
37,Male,Sweden,37.0,Employed full-time,Yes,Machine Learning Engineer,Employed by a company that performs advanced analytics,Python,Master's degree,80000,USD,1.0,80000.0
42,Male,Portugal,30.0,Employed full-time,Yes,Data Scientist,Employed by a company that performs advanced analytics,Python,Master's degree,30000,EUR,1.195826,35874.78
65,Male,India,29.0,Employed full-time,Yes,Data Scientist,Employed by a company that performs advanced analytics,R,Master's degree,120000,INR,0.01562,1874.4
67,Male,France,25.0,Employed full-time,Yes,Data Scientist,Employed by professional services/consulting firm,Python,Master's degree,100000,EUR,1.195826,119582.6
72,Male,Spain,38.0,Employed full-time,Yes,Data Scientist,Employed by professional services/consulting firm,R,Doctoral degree,36000,EUR,1.195826,43049.736000000004
75,Male,United States,40.0,Employed full-time,Yes,Scientist/Researcher,Employed by a company that doesn't perform advanced analytics,Python,Doctoral degree,215000,USD,1.0,215000.0
80,Male,United States,25.0,Employed full-time,Yes,Engineer,Employed by professional services/consulting firm,Python,Master's degree,61000,HKD,0.127998,7807.878
81,Male,Germany,44.0,Employed full-time,Yes,Other,Employed by a company that doesn't perform advanced analytics,Python,Master's degree,65000,EUR,1.195826,77728.69
86,Female,United States,31.0,Employed full-time,Yes,Scientist/Researcher,Employed by college or university,R,Doctoral degree,83500,USD,1.0,83500.0
89,Female,United States,39.0,Employed full-time,Yes,Predictive Modeler,Employed by a company that performs advanced analytics,R,Master's degree,115000,USD,1.0,115000.0
99,Male,Hungary,40.0,Employed full-time,Yes,Researcher,Employed by college or university,R,Doctoral degree,4000000,HUF,0.003896,15584.0
100,Female,United States,30.0,Employed full-time,Yes,Business Analyst,Employed by a company that doesn't perform advanced analytics,Python,Bachelor's degree,80000,USD,1.0,80000.0
106,Male,United States,50.0,Employed full-time,Yes,Predictive Modeler,Employed by professional services/consulting firm,R,Doctoral degree,135000,USD,1.0,135000.0
121,Male,Spain,34.0,Employed full-time,Yes,Software Developer/Software Engineer,Employed by a company that performs advanced analytics,Python,Professional degree,80000,EUR,1.195826,95666.08
127,Male,Brazil,25.0,Employed full-time,Yes,Computer Scientist,Employed by college or university,Python,Master's degree,1500,BRL,0.32135,482.02500000000003
130,Male,Brazil,32.0,Employed full-time,Yes,Scientist/Researcher,Employed by college or university,Python,Master's degree,25000,BRL,0.32135,8033.750000000001
132,Male,Hungary,38.0,Employed full-time,Yes,Researcher,Employed by company that makes advanced analytic software,Python,Bachelor's degree,372000,HUF,0.003896,1449.3120000000001
